"from","to","timing_from","timing_to","model"
"X1","Xtest",-3,-2,1
"X2","Xtest",-3,-2,1
"X2","Y",-3,0,1
"Xtest","Y",-2,0,1
"X1","Xtest",-3,-2,3
"X1","Y",-3,0,3
"X2","Xtest",-3,-2,3
"X2","Y",-3,0,3
"Xtest","Y",-2,0,3
"X1","Xtest",-3,-2,4
"X2","Xtest",-3,-2,4
"X2","Y",-3,0,4
"Xtest","X3",-2,1,4
"Y","X3",0,1,4
"Xtest","Y",-2,0,4
"X1","X1",-3,-3,5
"X2","Xtest",-3,-2,5
"X2","Y",-3,0,5
"Xtest","Y",-2,0,5
